solute,model,heat_of_vaporization,heat_capacity,compressibility,thermal_expansion,density
Water,GRACE (2L-S),42.36,1.61,0.45,0.05,1.013
Water,GRACE (2L-M),43.31,1.58,0.42,0.01,1.0
Water,GRACE (2L-L),43.1,1.5,0.46,0.05,1.009
Benzene,GRACE (2L-S),37.06,1.09,0.52,0.11,1.0
Benzene,GRACE (2L-M),27.86,1.08,0.7,0.12,0.959
Benzene,GRACE (2L-L),31.18,1.05,0.49,0.09,0.961
Hexane,GRACE (2L-S),22.66,1.64,2.79,0.25,0.68
Hexane,GRACE (2L-M),24.39,1.53,1.78,0.14,0.652
Hexane,GRACE (2L-L),26.57,1.54,1.47,0.15,0.724
Acetone,GRACE (2L-S),28.85,1.19,1.23,0.16,0.84
Acetone,GRACE (2L-M),28.35,1.21,1.62,0.19,0.812
Acetone,GRACE (2L-L),30.23,1.23,1.2,0.17,0.833
Methanol,GRACE (2L-S),31.06,1.42,0.98,0.15,0.864
Methanol,GRACE (2L-M),35.98,1.32,1.11,0.11,0.814
Methanol,GRACE (2L-L),39.65,1.38,1.04,0.13,0.829
Nma,GRACE (2L-S),58.23,1.25,0.66,0.11,0.973
Nma,GRACE (2L-M),45.27,1.16,0.77,0.1,0.973
Nma,GRACE (2L-L),57.62,1.21,0.78,0.11,0.948
Water,experiment,43.99,1.0,0.45,0.03,0.997
Benzene,experiment,33.83,0.42,0.97,0.11,0.88
Methanol,experiment,38.3,0.61,0.31,0.15,0.79
Acetone,experiment,31.9,0.52,1.41,0.15,0.78
Hexane,experiment,31.52,0.54,1.67,0.14,0.66
Nma,experiment,53.5,Nan,Nan,Nan,0.92
NMA,MACE (S) - OpenMM,58.83,1.27,0.48,0.11,1.07
NMA,MACE (M) - OpenMM,46.82,1.11,1.87,0.14,0.87
Water,MACE (S) - OpenMM,47.8,1.71,0.29,0.1,1.12
Water,MACE (M) - OpenMM,48.9,1.57,0.23,0.06,1.18
Methanol,MACE (S) - OpenMM,36.29,1.43,1.52,0.21,0.91
Methanol,MACE (M) - OpenMM,34.98,1.4,2.3,0.2,0.81
Acetone,MACE (S) - OpenMM,29.93,1.25,1.24,0.17,0.88
Acetone,MACE (M) - OpenMM,20.05,1.23,29.09,1.1,0.64
Benzene,MACE (S) - OpenMM,36.19,1.18,0.72,0.15,1.02
Benzene,MACE (M) - OpenMM,28.11,1.24,1.97,0.27,0.89
Hexane,MACE (S) - OpenMM,33.1,2.19,3.79,0.53,0.79
Hexane,MACE (M) - OpenMM,15.77,2.12,327.35,3.44,0.39
