Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -5976.14     -6043.42        67.27   303.3
0.0500         -5918.85     -6000.74        81.89   369.2
0.1000         -5906.05     -5976.71        70.66   318.6
0.1500         -5931.12     -5990.10        58.98   265.9
0.2000         -5915.08     -5985.29        70.21   316.5
0.2500         -5915.42     -5979.76        64.34   290.1
0.3000         -5913.75     -5983.75        70.00   315.6
0.3500         -5926.14     -5986.96        60.81   274.2
0.4000         -5913.48     -5983.27        69.78   314.6
0.4500         -5919.03     -5983.69        64.66   291.5
0.5000         -5923.60     -5987.62        64.03   288.7
0.5500         -5917.32     -5984.67        67.35   303.6
0.6000         -5919.10     -5984.89        65.79   296.6
0.6500         -5919.20     -5987.16        67.96   306.4
0.7000         -5918.30     -5983.84        65.54   295.5
0.7500         -5916.97     -5986.89        69.92   315.2
0.8000         -5924.71     -5988.53        63.82   287.7
0.8500         -5921.30     -5987.26        65.96   297.4
0.9000         -5920.98     -5987.16        66.18   298.4
0.9500         -5922.15     -5987.89        65.74   296.4
1.0000         -5920.58     -5987.63        67.04   302.2
1.0500         -5921.93     -5987.97        66.04   297.7
1.1000         -5920.15     -5986.72        66.57   300.1
1.1500         -5922.68     -5989.89        67.21   303.0
1.2000         -5925.13     -5991.91        66.78   301.1
1.2500         -5923.52     -5990.73        67.21   303.0
1.3000         -5920.71     -5988.40        67.68   305.1
1.3500         -5918.86     -5985.33        66.47   299.7
1.4000         -5920.19     -5984.95        64.76   292.0
1.4500         -5921.04     -5987.47        66.43   299.5
1.5000         -5923.91     -5989.05        65.14   293.7
1.5500         -5921.72     -5988.91        67.19   302.9
1.6000         -5919.17     -5985.82        66.65   300.5
1.6500         -5921.22     -5987.69        66.47   299.7
1.7000         -5923.08     -5987.91        64.83   292.3
1.7500         -5924.80     -5989.51        64.71   291.7
1.8000         -5924.15     -5990.56        66.42   299.4
1.8500         -5925.17     -5991.17        66.00   297.5
1.9000         -5924.70     -5992.05        67.36   303.7
1.9500         -5923.67     -5988.35        64.68   291.6
2.0000         -5919.74     -5988.03        68.29   307.9
2.0500         -5921.87     -5988.69        66.82   301.3
2.1000         -5921.88     -5988.77        66.89   301.6
2.1500         -5923.85     -5988.49        64.63   291.4
2.2000         -5922.78     -5991.15        68.37   308.2
2.2500         -5924.70     -5991.29        66.58   300.2
2.3000         -5921.94     -5989.32        67.38   303.8
2.3500         -5920.31     -5987.75        67.44   304.1
2.4000         -5924.70     -5989.93        65.23   294.1
2.4500         -5927.92     -5993.02        65.10   293.5
2.5000         -5924.06     -5991.80        67.74   305.4
2.5500         -5923.20     -5989.13        65.93   297.2
2.6000         -5923.02     -5988.11        65.09   293.4
2.6500         -5922.14     -5988.31        66.17   298.3
2.7000         -5921.19     -5989.02        67.83   305.8
2.7500         -5926.13     -5991.60        65.48   295.2
2.8000         -5926.69     -5992.74        66.05   297.8
2.8500         -5919.76     -5988.03        68.27   307.8
2.9000         -5921.05     -5987.14        66.10   298.0
2.9500         -5922.86     -5989.59        66.73   300.9
3.0000         -5923.80     -5990.89        67.09   302.5
3.0500         -5920.80     -5988.91        68.10   307.0
3.1000         -5923.72     -5987.06        63.34   285.6
3.1500         -5921.67     -5988.37        66.70   300.7
3.2000         -5924.12     -5990.49        66.37   299.2
3.2500         -5922.99     -5990.04        67.05   302.3
3.3000         -5920.71     -5989.99        69.28   312.4
3.3500         -5922.52     -5987.93        65.41   294.9
3.4000         -5922.32     -5988.40        66.08   297.9
3.4500         -5923.66     -5991.49        67.83   305.8
3.5000         -5925.78     -5992.46        66.68   300.6
3.5500         -5926.48     -5992.90        66.42   299.5
3.6000         -5928.83     -5993.16        64.32   290.0
3.6500         -5923.07     -5991.43        68.36   308.2
3.7000         -5927.37     -5993.13        65.76   296.5
3.7500         -5927.09     -5993.04        65.95   297.3
3.8000         -5922.68     -5990.01        67.33   303.5
3.8500         -5924.51     -5990.41        65.90   297.1
3.9000         -5925.01     -5991.48        66.47   299.7
3.9500         -5922.94     -5989.09        66.15   298.2
4.0000         -5926.31     -5992.12        65.81   296.7
4.0500         -5926.23     -5991.60        65.38   294.7
4.1000         -5926.25     -5993.72        67.47   304.2
4.1500         -5930.50     -5995.89        65.39   294.8
4.2000         -5929.12     -5995.13        66.01   297.6
4.2500         -5926.38     -5992.44        66.06   297.8
4.3000         -5927.67     -5992.38        64.71   291.7
4.3500         -5928.86     -5994.32        65.46   295.1
4.4000         -5928.75     -5993.89        65.13   293.6
4.4500         -5925.34     -5991.62        66.27   298.8
4.5000         -5926.74     -5992.28        65.54   295.5
4.5500         -5927.69     -5993.15        65.45   295.1
4.6000         -5927.20     -5993.64        66.44   299.5
4.6500         -5927.21     -5993.21        66.00   297.5
4.7000         -5924.18     -5991.20        67.02   302.2
4.7500         -5922.23     -5990.94        68.71   309.8
4.8000         -5927.78     -5991.90        64.12   289.1
4.8500         -5925.95     -5993.13        67.17   302.8
4.9000         -5925.99     -5994.05        68.06   306.8
4.9500         -5924.53     -5991.52        66.99   302.0
5.0000         -5924.07     -5990.86        66.78   301.1
5.0500         -5926.03     -5992.47        66.44   299.5
