Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -5961.07     -6026.91        65.84   296.8
0.0500         -5902.41     -5982.39        79.98   360.6
0.1000         -5886.80     -5959.54        72.75   328.0
0.1500         -5918.95     -5974.27        55.32   249.4
0.2000         -5893.99     -5968.45        74.47   335.7
0.2500         -5896.28     -5962.10        65.82   296.7
0.3000         -5898.52     -5964.22        65.70   296.2
0.3500         -5904.12     -5966.42        62.30   280.9
0.4000         -5894.05     -5964.99        70.94   319.8
0.4500         -5898.81     -5966.09        67.28   303.3
0.5000         -5902.82     -5967.79        64.97   292.9
0.5500         -5900.41     -5967.58        67.17   302.8
0.6000         -5901.75     -5967.95        66.20   298.5
0.6500         -5901.24     -5968.67        67.43   304.0
0.7000         -5902.48     -5968.47        65.99   297.5
0.7500         -5899.14     -5967.03        67.89   306.1
0.8000         -5905.23     -5969.62        64.39   290.3
0.8500         -5900.79     -5969.73        68.94   310.8
0.9000         -5902.85     -5967.98        65.12   293.6
0.9500         -5900.32     -5966.45        66.13   298.1
1.0000         -5898.60     -5967.49        68.89   310.6
1.0500         -5906.38     -5970.22        63.84   287.8
1.1000         -5901.93     -5971.77        69.83   314.8
1.1500         -5905.72     -5969.65        63.93   288.2
1.2000         -5902.15     -5970.85        68.70   309.7
1.2500         -5903.92     -5969.80        65.88   297.0
1.3000         -5905.45     -5971.93        66.48   299.7
1.3500         -5906.66     -5972.41        65.75   296.4
1.4000         -5906.87     -5972.41        65.55   295.5
1.4500         -5904.91     -5972.99        68.08   306.9
1.5000         -5904.31     -5969.94        65.63   295.9
1.5500         -5902.99     -5969.75        66.76   301.0
1.6000         -5904.61     -5971.24        66.63   300.4
1.6500         -5904.16     -5972.29        68.12   307.1
1.7000         -5905.16     -5971.61        66.45   299.6
1.7500         -5906.94     -5972.16        65.22   294.0
1.8000         -5903.82     -5971.15        67.33   303.6
1.8500         -5906.31     -5972.11        65.80   296.6
1.9000         -5901.09     -5970.47        69.38   312.8
1.9500         -5905.67     -5972.23        66.56   300.1
2.0000         -5906.24     -5973.14        66.89   301.6
2.0500         -5902.97     -5971.99        69.02   311.2
2.1000         -5907.64     -5972.67        65.04   293.2
2.1500         -5907.10     -5974.64        67.54   304.5
2.2000         -5905.97     -5971.81        65.84   296.8
2.2500         -5903.72     -5971.18        67.46   304.1
2.3000         -5904.33     -5969.93        65.60   295.7
2.3500         -5902.51     -5970.77        68.27   307.8
2.4000         -5905.11     -5970.33        65.22   294.0
2.4500         -5906.24     -5973.48        67.24   303.1
2.5000         -5906.56     -5972.83        66.27   298.8
2.5500         -5904.43     -5970.52        66.09   298.0
2.6000         -5905.11     -5971.15        66.04   297.7
2.6500         -5906.07     -5972.12        66.05   297.8
2.7000         -5905.54     -5972.28        66.73   300.9
2.7500         -5906.68     -5973.03        66.36   299.2
2.8000         -5904.45     -5969.78        65.32   294.5
2.8500         -5902.07     -5972.05        69.97   315.5
2.9000         -5907.12     -5972.01        64.88   292.5
2.9500         -5908.80     -5973.42        64.62   291.3
3.0000         -5903.00     -5970.50        67.50   304.3
3.0500         -5900.65     -5969.52        68.87   310.5
3.1000         -5906.64     -5972.49        65.85   296.9
3.1500         -5906.99     -5972.89        65.90   297.1
3.2000         -5904.64     -5971.67        67.03   302.2
3.2500         -5908.10     -5974.08        65.98   297.5
3.3000         -5907.53     -5976.00        68.47   308.7
3.3500         -5907.93     -5974.06        66.13   298.2
3.4000         -5902.47     -5972.77        70.30   316.9
3.4500         -5909.07     -5973.97        64.91   292.6
3.5000         -5906.24     -5972.04        65.80   296.6
3.5500         -5905.52     -5971.23        65.70   296.2
3.6000         -5905.56     -5972.50        66.94   301.8
3.6500         -5911.79     -5976.21        64.42   290.4
3.7000         -5908.40     -5975.90        67.50   304.3
3.7500         -5905.93     -5972.51        66.57   300.1
3.8000         -5909.71     -5973.10        63.40   285.8
3.8500         -5906.28     -5974.36        68.08   306.9
3.9000         -5906.46     -5973.25        66.79   301.1
3.9500         -5905.47     -5972.60        67.13   302.6
4.0000         -5906.40     -5972.71        66.31   299.0
4.0500         -5906.90     -5973.78        66.88   301.5
4.1000         -5905.20     -5973.07        67.87   306.0
4.1500         -5910.05     -5975.18        65.13   293.6
4.2000         -5905.63     -5974.38        68.74   309.9
4.2500         -5904.18     -5972.13        67.95   306.3
4.3000         -5908.58     -5973.60        65.02   293.1
4.3500         -5907.66     -5973.31        65.65   296.0
4.4000         -5906.16     -5972.87        66.71   300.7
4.4500         -5906.37     -5971.34        64.96   292.9
4.5000         -5907.37     -5974.08        66.71   300.7
4.5500         -5909.69     -5976.21        66.52   299.9
4.6000         -5908.17     -5975.03        66.86   301.4
4.6500         -5906.92     -5974.00        67.08   302.4
4.7000         -5907.65     -5972.91        65.26   294.2
4.7500         -5906.13     -5972.92        66.80   301.1
4.8000         -5906.67     -5971.16        64.49   290.7
4.8500         -5904.20     -5969.89        65.69   296.1
4.9000         -5904.48     -5972.47        67.99   306.5
4.9500         -5909.96     -5974.69        64.73   291.8
5.0000         -5905.09     -5974.17        69.08   311.4
5.0500         -5906.34     -5973.36        67.02   302.1
5.1000         -5906.38     -5971.64        65.25   294.2
5.1500         -5904.53     -5971.82        67.29   303.4
5.2000         -5905.56     -5971.32        65.76   296.5
5.2500         -5906.10     -5972.29        66.19   298.4
5.3000         -5906.46     -5973.88        67.42   304.0
5.3500         -5908.18     -5973.49        65.30   294.4
5.4000         -5906.52     -5973.14        66.62   300.3
5.4500         -5907.84     -5972.74        64.90   292.6
5.5000         -5908.25     -5973.42        65.17   293.8
5.5500         -5905.99     -5971.86        65.86   296.9
5.6000         -5910.29     -5974.74        64.44   290.5
5.6500         -5907.64     -5974.33        66.69   300.7
5.7000         -5906.65     -5973.96        67.32   303.5
5.7500         -5909.54     -5975.29        65.75   296.4
5.8000         -5909.47     -5975.02        65.56   295.6
5.8500         -5904.87     -5971.58        66.71   300.7
5.9000         -5904.01     -5972.05        68.03   306.7
5.9500         -5911.00     -5976.04        65.05   293.2
6.0000         -5907.98     -5974.19        66.21   298.5
