Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -9.9658     -10.0450       0.0792   204.2
0.0500          -9.9587     -10.0232       0.0646   166.5
0.1000          -9.9490     -10.0315       0.0824   212.5
0.1500          -9.9580     -10.0424       0.0844   217.5
0.2000          -9.9541     -10.0279       0.0738   190.3
0.2500          -9.9560     -10.0320       0.0760   196.0
0.3000          -9.9612     -10.0420       0.0809   208.6
0.3500          -9.9326     -10.0165       0.0840   216.5
0.4000          -9.9072     -10.0403       0.1331   343.3
0.4500          -9.9180     -10.0166       0.0986   254.3
0.5000          -9.8914     -10.0180       0.1266   326.5
0.5500          -9.9106     -10.0388       0.1281   330.5
0.6000          -9.9214     -10.0180       0.0966   249.1
0.6500          -9.8861     -10.0400       0.1539   396.8
0.7000          -9.8891      -9.9888       0.0997   257.1
0.7500          -9.8794     -10.0114       0.1320   340.4
0.8000          -9.8727     -10.0163       0.1436   370.4
0.8500          -9.8591     -10.0057       0.1466   378.0
0.9000          -9.8844     -10.0319       0.1475   380.3
0.9500          -9.8830      -9.9841       0.1011   260.7
1.0000          -9.9070      -9.9956       0.0886   228.6
1.0500          -9.9215     -10.0114       0.0900   232.0
1.1000          -9.9171      -9.9903       0.0732   188.8
1.1500          -9.9151     -10.0352       0.1201   309.7
1.2000          -9.9306      -9.9844       0.0538   138.7
1.2500          -9.9081     -10.0264       0.1184   305.2
1.3000          -9.9021      -9.9826       0.0805   207.6
1.3500          -9.9418     -10.0057       0.0639   164.8
1.4000          -9.9483     -10.0195       0.0713   183.8
1.4500          -9.9500      -9.9810       0.0310    79.9
1.5000          -9.9392     -10.0140       0.0749   193.0
1.5500          -9.9402     -10.0095       0.0693   178.7
1.6000          -9.9611     -10.0132       0.0521   134.3
1.6500          -9.9653     -10.0272       0.0619   159.6
1.7000          -9.9611     -10.0018       0.0407   104.9
1.7500          -9.9514      -9.9961       0.0447   115.2
1.8000          -9.9269     -10.0029       0.0760   196.0
1.8500          -9.9249     -10.0196       0.0947   244.2
1.9000          -9.9523     -10.0345       0.0822   212.0
1.9500          -9.9469     -10.0096       0.0627   161.7
2.0000          -9.9250     -10.0053       0.0803   207.1
2.0500          -9.9166     -10.0031       0.0865   223.1
2.1000          -9.9382      -9.9940       0.0558   143.8
2.1500          -9.9482     -10.0209       0.0727   187.5
2.2000          -9.9425     -10.0094       0.0669   172.5
2.2500          -9.9555     -10.0239       0.0684   176.4
2.3000          -9.9658     -10.0344       0.0687   177.1
2.3500          -9.9491     -10.0259       0.0767   197.9
2.4000          -9.9510     -10.0379       0.0869   224.1
2.4500          -9.9417     -10.0333       0.0916   236.2
2.5000          -9.9670     -10.0208       0.0538   138.7
2.5500          -9.9719     -10.0143       0.0424   109.2
2.6000          -9.9668      -9.9942       0.0274    70.7
2.6500          -9.9723     -10.0119       0.0396   102.2
2.7000          -9.9859     -10.0256       0.0397   102.4
2.7500          -9.9886     -10.0222       0.0336    86.5
2.8000         -10.0020     -10.0414       0.0394   101.5
2.8500          -9.9989     -10.0412       0.0422   109.0
2.9000          -9.9970     -10.0213       0.0243    62.7
2.9500          -9.9851     -10.0077       0.0226    58.3
3.0000          -9.9957     -10.0139       0.0183    47.1
3.0500          -9.9893     -10.0245       0.0352    90.9
3.1000          -9.9773     -10.0430       0.0657   169.5
