Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000       -2080.9820   -2081.1211       0.1391   358.8
0.0500       -2080.9310   -2081.1092       0.1781   459.4
0.1000       -2080.8878   -2081.1056       0.2177   561.5
0.1500       -2080.8799   -2081.0866       0.2067   533.0
0.2000       -2080.9144   -2081.1065       0.1921   495.5
0.2500       -2080.9342   -2081.0923       0.1580   407.6
0.3000       -2080.9337   -2081.1073       0.1736   447.7
0.3500       -2080.9237   -2081.1019       0.1782   459.6
0.4000       -2080.9082   -2081.1052       0.1970   508.1
0.4500       -2080.9399   -2081.0829       0.1429   368.6
0.5000       -2080.9372   -2081.0915       0.1543   397.9
0.5500       -2080.9175   -2081.0553       0.1377   355.1
0.6000       -2080.9230   -2081.0784       0.1554   400.8
0.6500       -2080.8913   -2081.0540       0.1628   419.7
0.7000       -2080.8909   -2081.0418       0.1509   389.0
0.7500       -2080.8670   -2081.0840       0.2170   559.7
0.8000       -2080.8408   -2081.0909       0.2501   645.0
0.8500       -2080.8220   -2081.0726       0.2506   646.2
0.9000       -2080.8595   -2081.1122       0.2527   651.7
0.9500       -2080.8728   -2081.0607       0.1879   484.7
1.0000       -2080.8587   -2081.1120       0.2533   653.1
1.0500       -2080.8948   -2081.0713       0.1766   455.3
1.1000       -2080.8880   -2081.1077       0.2197   566.5
1.1500       -2080.8985   -2081.0935       0.1950   502.8
1.2000       -2080.8792   -2081.1159       0.2367   610.3
1.2500       -2080.9262   -2081.0765       0.1503   387.6
1.3000       -2080.9180   -2081.1113       0.1934   498.7
1.3500       -2080.9308   -2081.1099       0.1791   461.8
1.4000       -2080.9329   -2081.0953       0.1624   418.7
1.4500       -2080.8720   -2081.0723       0.2003   516.6
1.5000       -2080.8634   -2081.0560       0.1927   496.8
1.5500       -2080.8921   -2081.1071       0.2150   554.5
1.6000       -2080.9123   -2081.0807       0.1684   434.3
1.6500       -2080.9171   -2081.0732       0.1562   402.7
1.7000       -2080.9287   -2081.1015       0.1728   445.5
1.7500       -2080.9109   -2081.0883       0.1774   457.5
1.8000       -2080.9188   -2081.0536       0.1348   347.5
1.8500       -2080.9319   -2081.0282       0.0963   248.4
1.9000       -2080.9809   -2081.0710       0.0901   232.3
1.9500       -2080.9777   -2081.0788       0.1012   260.9
2.0000       -2080.9744   -2081.0781       0.1037   267.5
2.0500       -2080.9533   -2081.0608       0.1075   277.1
2.1000       -2080.9206   -2081.0371       0.1166   300.6
2.1500       -2080.9196   -2081.0545       0.1349   347.8
2.2000       -2080.9120   -2081.0436       0.1316   339.3
2.2500       -2080.9128   -2081.0669       0.1540   397.2
2.3000       -2080.8862   -2081.0503       0.1641   423.3
2.3500       -2080.8878   -2081.0216       0.1337   344.9
2.4000       -2080.8760   -2080.9767       0.1006   259.5
2.4500       -2080.9038   -2081.0907       0.1868   481.8
2.5000       -2080.8991   -2081.0616       0.1626   419.3
2.5500       -2080.8904   -2081.0500       0.1596   411.6
2.6000       -2080.8988   -2080.9860       0.0872   224.9
2.6500       -2080.8889   -2081.0429       0.1540   397.0
2.7000       -2080.8589   -2081.0741       0.2152   555.0
2.7500       -2080.8603   -2080.9793       0.1190   306.9
2.8000       -2080.8572   -2081.0440       0.1867   481.5
2.8500       -2080.8474   -2080.9842       0.1368   352.9
2.9000       -2080.8697   -2081.0931       0.2234   576.2
2.9500       -2080.9220   -2081.0172       0.0952   245.4
3.0000       -2080.9441   -2081.0715       0.1275   328.8
3.0500       -2080.9047   -2080.9958       0.0911   235.0
3.1000       -2080.8881   -2081.0834       0.1953   503.6
3.1500       -2080.8678   -2081.0398       0.1720   443.5
3.2000       -2080.8631   -2081.0657       0.2025   522.3
3.2500       -2080.8755   -2081.0239       0.1484   382.8
3.3000       -2080.8756   -2080.9861       0.1105   285.1
