Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -1190631.50  -1190698.30        66.81   301.2
0.0500      -1190575.71  -1190657.41        81.70   368.3
0.1000      -1190561.02  -1190630.19        69.17   311.8
0.1500      -1190579.16  -1190640.40        61.24   276.1
0.2000      -1190565.89  -1190636.45        70.56   318.1
0.2500      -1190569.09  -1190634.26        65.17   293.8
0.3000      -1190570.00  -1190636.17        66.17   298.3
0.3500      -1190572.56  -1190637.68        65.11   293.6
0.4000      -1190567.00  -1190634.90        67.90   306.1
0.4500      -1190572.60  -1190635.89        63.29   285.3
0.5000      -1190570.90  -1190638.47        67.57   304.6
0.5500      -1190574.27  -1190637.84        63.58   286.6
0.6000      -1190569.57  -1190637.36        67.79   305.6
0.6500      -1190571.72  -1190639.72        68.00   306.6
0.7000      -1190574.28  -1190640.11        65.83   296.8
0.7500      -1190572.98  -1190640.26        67.28   303.3
0.8000      -1190571.01  -1190637.74        66.74   300.9
0.8500      -1190571.48  -1190638.22        66.74   300.9
0.9000      -1190576.68  -1190642.47        65.79   296.6
0.9500      -1190577.37  -1190643.67        66.29   298.9
1.0000      -1190573.61  -1190641.55        67.95   306.3
1.0500      -1190573.09  -1190640.67        67.57   304.6
1.1000      -1190576.09  -1190642.03        65.94   297.3
1.1500      -1190574.18  -1190641.93        67.75   305.4
1.2000      -1190573.74  -1190640.75        67.00   302.1
1.2500      -1190575.64  -1190641.77        66.13   298.1
1.3000      -1190574.44  -1190641.50        67.06   302.3
1.3500      -1190575.08  -1190640.36        65.28   294.3
1.4000      -1190575.97  -1190640.85        64.88   292.5
1.4500      -1190571.48  -1190640.52        69.05   311.3
1.5000      -1190575.31  -1190640.47        65.16   293.8
1.5500      -1190576.22  -1190642.30        66.08   297.9
1.6000      -1190575.05  -1190639.63        64.58   291.2
1.6500      -1190569.99  -1190638.97        68.98   311.0
1.7000      -1190575.41  -1190639.46        64.05   288.8
1.7500      -1190573.37  -1190640.52        67.15   302.7
1.8000      -1190569.00  -1190635.60        66.60   300.3
1.8500      -1190573.05  -1190638.51        65.47   295.1
1.9000      -1190578.30  -1190644.29        65.99   297.5
1.9500      -1190575.10  -1190641.29        66.19   298.4
2.0000      -1190571.91  -1190639.25        67.34   303.6
2.0500      -1190575.65  -1190641.53        65.88   297.0
2.1000      -1190571.64  -1190642.35        70.72   318.8
2.1500      -1190575.73  -1190642.04        66.32   299.0
2.2000      -1190579.23  -1190644.73        65.50   295.3
2.2500      -1190575.92  -1190641.19        65.28   294.3
2.3000      -1190574.08  -1190641.35        67.27   303.3
2.3500      -1190573.87  -1190641.80        67.94   306.3
2.4000      -1190575.31  -1190640.61        65.30   294.4
2.4500      -1190570.03  -1190637.74        67.71   305.3
2.5000      -1190575.31  -1190638.86        63.56   286.5
2.5500      -1190577.47  -1190642.48        65.01   293.1
2.6000      -1190573.75  -1190640.47        66.72   300.8
2.6500      -1190574.99  -1190641.99        67.00   302.0
2.7000      -1190577.13  -1190642.94        65.81   296.7
2.7500      -1190577.29  -1190642.72        65.43   295.0
2.8000      -1190577.02  -1190643.43        66.41   299.4
2.8500      -1190576.23  -1190642.12        65.89   297.0
2.9000      -1190574.78  -1190640.55        65.77   296.5
2.9500      -1190572.16  -1190639.23        67.07   302.4
3.0000      -1190572.82  -1190640.24        67.42   304.0
3.0500      -1190576.46  -1190642.24        65.79   296.6
3.1000      -1190578.26  -1190644.67        66.42   299.4
3.1500      -1190577.40  -1190642.84        65.45   295.1
3.2000      -1190569.42  -1190639.61        70.19   316.4
3.2500      -1190579.51  -1190645.70        66.19   298.4
3.3000      -1190581.32  -1190647.54        66.22   298.5
3.3500      -1190575.05  -1190643.55        68.50   308.8
3.4000      -1190576.73  -1190642.06        65.34   294.6
3.4500      -1190576.31  -1190641.41        65.10   293.5
3.5000      -1190571.73  -1190639.80        68.07   306.9
3.5500      -1190572.61  -1190641.23        68.62   309.4
3.6000      -1190579.63  -1190645.46        65.83   296.8
3.6500      -1190575.00  -1190642.61        67.61   304.8
3.7000      -1190573.81  -1190641.88        68.08   306.9
3.7500      -1190575.52  -1190641.15        65.62   295.9
3.8000      -1190576.71  -1190643.76        67.05   302.3
3.8500      -1190579.01  -1190646.04        67.03   302.2
3.9000      -1190580.62  -1190646.49        65.87   296.9
3.9500      -1190578.65  -1190644.66        66.01   297.6
4.0000      -1190575.30  -1190642.46        67.16   302.8
4.0500      -1190576.79  -1190644.74        67.95   306.4
4.1000      -1190579.40  -1190644.16        64.76   292.0
4.1500      -1190577.10  -1190643.23        66.13   298.1
4.2000      -1190578.35  -1190643.95        65.59   295.7
4.2500      -1190578.83  -1190644.65        65.82   296.7
4.3000      -1190578.68  -1190645.98        67.30   303.4
4.3500      -1190581.33  -1190646.26        64.93   292.7
4.4000      -1190579.93  -1190645.51        65.58   295.7
4.4500      -1190572.59  -1190642.03        69.45   313.1
4.5000      -1190577.01  -1190644.31        67.30   303.4
4.5500      -1190578.18  -1190646.13        67.96   306.4
4.6000      -1190572.63  -1190640.55        67.92   306.2
4.6500      -1190575.57  -1190640.48        64.91   292.6
4.7000      -1190575.02  -1190642.24        67.22   303.1
4.7500      -1190577.73  -1190644.54        66.82   301.2
4.8000      -1190577.58  -1190646.16        68.59   309.2
4.8500      -1190580.62  -1190646.01        65.39   294.8
4.9000      -1190578.55  -1190645.44        66.89   301.6
4.9500      -1190575.48  -1190644.03        68.55   309.0
5.0000      -1190580.33  -1190645.28        64.95   292.8
5.0500      -1190578.66  -1190644.63        65.97   297.4
5.1000      -1190576.16  -1190643.62        67.46   304.1
5.1500      -1190576.43  -1190642.20        65.77   296.5
5.2000      -1190575.32  -1190641.94        66.62   300.3
5.2500      -1190577.50  -1190643.91        66.42   299.4
5.3000      -1190576.37  -1190642.64        66.26   298.7
5.3500      -1190578.02  -1190643.52        65.50   295.3
5.4000      -1190581.55  -1190645.99        64.44   290.5
5.4500      -1190577.43  -1190644.14        66.71   300.8
5.5000      -1190576.66  -1190643.81        67.15   302.7
5.5500      -1190579.92  -1190645.78        65.86   296.9
5.6000      -1190579.33  -1190645.78        66.45   299.6
5.6500      -1190578.48  -1190645.68        67.20   303.0
5.7000      -1190578.68  -1190647.19        68.51   308.9
5.7500      -1190580.28  -1190644.66        64.38   290.2
5.8000      -1190575.93  -1190645.38        69.46   313.1
5.8500      -1190581.54  -1190646.65        65.11   293.5
5.9000      -1190576.58  -1190643.88        67.31   303.4
5.9500      -1190576.85  -1190642.70        65.85   296.9
6.0000      -1190577.97  -1190644.75        66.78   301.1
6.0500      -1190578.07  -1190643.66        65.59   295.7
6.1000      -1190576.11  -1190644.02        67.91   306.1
6.1500      -1190578.12  -1190645.46        67.34   303.6
